09476;Kronach;69095;68484;67998;67916;67613
09477;Kulmbach;73211;72898;72541;72468;71993
09478;Lichtenfels;67109;66644;66540;66655;66640
09479;Wunsiedel im Fichtelgebirge;74599;73783;73403;73185;73260
09561;Ansbach;39684;39839;40010;41159;41532
09562;Erlangen;105412;105624;106423;108336;110238
09563;Fürth;118358;119808;121519;124171;125403
09564;Nürnberg;495121;498876;501072;509975;511628
09565;Schwabach;39137;39546;39941;40428;40707
09571;Ansbach;178289;178914;179419;181314;182178
09572;Erlangen-Höchstadt;131227;132012;132830;134136;134640
09573;Fürth;113959;114513;113847;114291;115971
09574;Nürnberger Land;164564;165000;165918;167643;168893
09575;Neustadt an der Aisch-Bad Windsheim;97409;97482;97808;98751;99332
09576;Roth;123168;123431;123890;125140;125563
09577;Weißenburg-Gunzenhausen;92187;92331;92518;93342;93974
09661;Aschaffenburg;67681;67844;68167;68986;69187
09662;Schweinfurt;52098;51851;51610;51969;52724
09663;Würzburg;124577;124698;124219;124873;126010
09671;Aschaffenburg;172575;172791;172776;173695;173504
09672;Bad Kissingen;103124;102865;102901;103106;103100
09673;Rhön-Grabfeld;80224;79965;79676;79723;79855
09674;Haßberge;84226;84090;84152;84581;84373
09675;Kitzingen;87899;88097;88492;89306;89748
09676;Miltenberg;127944;127909;127941;128446;128543
09677;Main-Spessart;126496;126295;125915;126123;126301
09678;Schweinfurt;112857;113007;113747;114813;114823
09679;Würzburg;158026;158580;159253;160427;161041
09761;Augsburg;272699;276542;281111;286374;289584
09762;Kaufbeuren;41570;41759;42014;42731;43134
09763;Kempten (Allgäu);64625;65044;65624;66947;67529
09764;Memmingen;41551;41772;42201;42841;43293
09771;Aichach-Friedberg;127250;128435;129294;130916;131399
09772;Augsburg;239004;240911;242697;245600;247539
09773;Dillingen an der Donau;93122;93129;93478;94575;94556
09774;Günzburg;120130;120696;121828;123153;123498
09775;Neu-Ulm;165270;166643;167847;170309;171011
09776;Lindau (Bodensee);78641;78939;79387;80429;80961
09777;Ostallgäu;134118;134771;135894;137709;138265
09778;Unterallgäu;136383;137484;138712;140419;141165
09779;Donau-Ries;128939;129422;130203;131345;132298
09780;Oberallgäu;149457;150478;150981;152672;153759
